source,category,url,scraped_at,scrape_run_id,title,price,currency,availability,location,posted_at,brand_guess,model_guess,mpn_guess,http_status,response_time_ms
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/dell-7720-17-3-fhd-xeon-e3-1545m-3-8-ghz-ram-64gb-ddr4-nvidia-p4000-8gb-ddr5-wwan-accesorii/45670edd97h97hh21g98ffhd9234h2ig.html,2026-03-02T21:20:30.984971+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,"Dell 7720 17.3"" FHD Xeon E3-1545M 3.8 GHz RAM 64GB DDR4 Nvidia P4000 8GB DDR5 WWAN + ACCESORII",2500.00,RON,,"Caras-Severin, Moldova Veche",2026-03-02T22:14:28+00:00,DELL,E3-1545M,E3-1545M,200,133
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/ecran-display-laptop-15-6-lp156wh2-tl-ea-marca-lg-impecabil/73h3g141ggfe7h4514313e439991hig1.html,2026-03-02T21:20:33.606931+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,"Ecran Display Laptop 15.6"" Lp156wh2 TL EA Marca LG - Impecabil",80.00,RON,,Bacau,2026-03-02T20:43:27+00:00,,LP156WH2,SHOW-PHONE-NUMBER,200,167
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/hp-15-notebook-pc-procesor-intel-i5-partial-functional/3568dhi363h67h78135965h9ege22952.html,2026-03-02T21:20:35.560799+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,HP 15 Notebook PC Procesor Intel I5 partial functional,200.00,RON,,Arad,2026-03-02T20:08:59+00:00,HP,,SHOW-PHONE-NUMBER,200,184
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/hp-pavilion-14-cu-windows-11-home/8ie454g3dhh871e21ge676058d6eiddg.html,2026-03-02T21:20:38.449467+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,HP Pavilion 14 cu Windows 11 Home,1500.00,RON,,"Timis, Timisoara",2026-02-25T15:40:10+00:00,HP,,14-EC1008NQ,200,598
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/hp-pavilion-dv4-4141us-entertainment-notebook/iide531e5g24707g2i91826910d93e18.html,2026-03-02T21:20:40.166020+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,HP Pavilion dv4-4141us Entertainment Notebook,600.00,RON,,Arad,2026-03-02T19:54:11+00:00,HP,DV4-4141US,DV4-4141US,200,136
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/laptop-acer-aspire/5id99176g35872201g490h325d24gi10.html,2026-03-02T21:20:46.074027+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,Laptop Acer Aspire,200.00,RON,,"Timis, Timisoara",2026-03-02T22:20:08+00:00,ACER,,SHOW-PHONE-NUMBER,200,228
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/laptop-asus-vivobook-16-f1605za-i7-1255u-ram-16gb-1tb-ssd-16-wuxga-sigilat/7h1954ei158774d72g6ddg795f09i98h.html,2026-03-02T21:20:49.432331+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,*Laptop ASUS Vivobook 16 F1605ZA i7-1255U RAM 16GB 1TB SSD 16 WUXGA Sigilat!!,2150.00,RON,,Iasi,2026-03-02T22:21:20+00:00,ASUS,Vivobook 16,I7-1255U,200,127
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/laptop-ca-nou-lenovo-ideapad-slim-5-i7-32gb-ram-1tb-ssd/74e533d7556f76542f0866eh579g2h28.html,2026-03-02T21:20:53.103256+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,Laptop CA NOU Lenovo IdeaPad Slim 5 i7 | 32GB RAM | 1TB SSD,2550.00,RON,,Iasi,2026-03-02T22:46:42+00:00,LENOVO,,I7-13620H,200,479
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/laptop-de-gaming-erazer/1fieg0h74eef73g1290f3eie4idi30fh.html,2026-03-02T21:20:55.835964+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,Laptop de gaming Erazer,3600.00,RON,,"Bucuresti, Sector 4",2026-02-25T14:48:28+00:00,,,SHOW-PHONE-NUMBER,200,127
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/laptop-hp-15s-15-6-intel-i3-8gb-ram-512-ssd-samsung/482d93hh73f97ieee5dehih1f8egg92f.html,2026-03-02T21:20:59.351155+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,"Laptop HP 15s 15,6 intel I3 8gb ram 512 SSD Samsung .",1100.00,RON,,Iasi,2026-03-02T22:21:26+00:00,HP,,35-39CM,200,295
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/laptop-hp-business/5e503d3e2ff37i1ieef92f385f3f6i22.html,2026-03-02T21:21:02.335232+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,Laptop HP Business,800.00,RON,,"Salaj, Simleu Silvaniei",2026-02-25T10:19:10+00:00,HP,,,200,311
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/laptop-lenovo-thinkpad-x12/d80434g5ei8g7e5fdg516582565hie43.html,2026-03-02T21:21:04.380141+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,Laptop Lenovo ThinkPad X12,2500.00,RON,,Constanta,2026-03-02T20:39:34+00:00,LENOVO,,,200,118
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/lenovo-yoga-pro-9-16-inch-32gb-rtx-4050-16imh9/e66gi25d9fe878h6e85e8ef3de3h3422.html,2026-03-02T21:21:06.467454+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,Lenovo Yoga Pro 9 16 inch - 32GB - RTX 4050 - 16IMH9,6849.00,RON,,"Cluj, Cluj-Napoca",2026-03-02T16:48:31+00:00,LENOVO,16IMH9,DCI-P3,200,131
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/macbook-retina-12-rose/i76e039402ef7h11d6d77ge0896id554.html,2026-03-02T21:21:10.090941+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,MacBook Retina 12 Rose,1500.00,RON,,"Mures, Targu Mures",2026-03-02T21:31:26+00:00,APPLE,,SHOW-PHONE-NUMBER,200,128
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/mini-laptop-10-acer-aspire-one/i6111dh090hh761hd4i0g1g16878ih14.html,2026-03-02T21:21:12.659113+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,"mini laptop 10"" acer aspire one",450.00,RON,,"Bucuresti, Sector 2",2026-03-02T20:48:48+00:00,ACER,,,200,542
publi24,laptopuri,https://www.publi24.ro/anunturi/electronice/laptop/anunt/unitate-optica-laptop-dvd-r-rw-cd-r-rw-nd-6650a/80ie807171e2786728f7586g9841di59.html,2026-03-02T21:21:19.761201+00:00,32d2e2d3-c672-490d-8955-1f54a42cfa6f,Unitate Optica Laptop DVD R RW & CD R RW ND-6650A,174.00,RON,,"Hunedoara, Brad",2026-03-02T21:22:59+00:00,,ND-6650A,ND-6650A,200,219
