source,category,url,scraped_at,scrape_run_id,title,price,currency,availability,location,posted_at,brand_guess,model_guess,mpn_guess,http_status,response_time_ms
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-loq-essential-15irx11-fhd-ips-144hz-procesor-intel-core-i7-13650hx-24m-cache-up-to-490-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-5050-8gb-no-os-luna-grey/,2026-03-02T21:18:55.345519+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Lenovo Gaming 15.6'' LOQ Essential 15IRX11, FHD IPS 144Hz, Procesor Intel® Core™ i7-13650HX (24M Cache, up to 4.90 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 5050 8GB, No OS, Luna Grey",4898.99,RON,InStock,,,LENOVO,13650HX,I7-13650HX,200,3054
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-16-legion-pro-7-16iax10h-wqxga-oled-240hz-g-sync-procesor-intel-core-ultra-9-275hx-36m-cache-up-to-540-ghz-32gb-ddr5-csodimm-1tb-ssd-geforce-rtx-5080-16gb-no-os-eclipse-black-3yr-onsite-premium-care/,2026-03-02T21:19:01.063422+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Lenovo Gaming 16'' Legion Pro 7 16IAX10H, WQXGA OLED 240Hz G-Sync, Procesor Intel® Core™ Ultra 9 275HX (36M Cache, up to 5.40 GHz), 32GB DDR5 CSODIMM, 1TB SSD, GeForce RTX 5080 16GB, No OS, Eclipse Black, 3Yr Onsite Premium Care",16198.99,RON,InStock,,,LENOVO,16IAX10H,,200,3054
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/acer/gaming-156-nitro-v-15-anv15-41-fhd-ips-165hz-procesor-amd-ryzen-7-7735hs-16m-cache-up-to-475-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-4060-8gb-no-os-obsidian-black-1/,2026-03-02T21:19:11.408973+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Acer Gaming 15.6'' Nitro V 15 ANV15-41, FHD IPS 165Hz, Procesor AMD Ryzen™ 7 7735HS (16M Cache, up to 4.75 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 4060 8GB, No OS, Obsidian Black",4799.00,RON,InStock,,,ACER,ANV15-41,ANV15-41,200,3168
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/acer/gaming-156-nitro-v-15-anv15-52-fhd-ips-165hz-procesor-intel-core-i9-13900h-24m-cache-up-to-540-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-5050-8gb-no-os-obsidian-black/,2026-03-02T21:19:16.475673+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Acer Gaming 15.6'' Nitro V 15 ANV15-52, FHD IPS 165Hz, Procesor Intel® Core™ i9-13900H (24M Cache, up to 5.40 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 5050 8GB, No OS, Obsidian Black",6799.00,RON,InStock,,,ACER,I9-13900H,ANV15-52,200,3278
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/156-expertbook-p1-p1503cva-fhd-procesor-intel-core-i7-13620h-24m-cache-up-to-490-ghz-32gb-ddr5-512gb-ssd-intel-uhd-no-os-misty-grey/,2026-03-02T21:19:23.274812+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS 15.6'' ExpertBook P1 P1503CVA, FHD, Procesor Intel® Core™ i7-13620H (24M Cache, up to 4.90 GHz), 32GB DDR5, 512GB SSD, Intel UHD, No OS, Misty Grey",3198.99,RON,InStock,,,ASUS,I7-13620H,I7-13620H,200,3425
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/156-vivobook-go-15-e1504fa-fhd-procesor-amd-ryzen-3-7320u-4m-cache-up-to-41-ghz-8gb-lpddr5-512gb-ssd-amd-radeon-610m-no-os-mixed-black/,2026-03-02T21:19:28.716801+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS 15.6'' Vivobook Go 15 E1504FA, FHD, Procesor AMD Ryzen™ 3 7320U (4M Cache, up to 4.1 GHz), 8GB LPDDR5, 512GB SSD, AMD Radeon 610M, No OS, Mixed Black",1748.99,RON,InStock,,,ASUS,E1504FA,,200,2922
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-16-tuf-a16-fa607nug-fhd-plus-144hz-procesor-amd-ryzen-7-7445hs-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-4050-6gb-no-os-mecha-gray/,2026-03-02T21:19:34.106313+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS Gaming 16'' TUF A16 FA607NUG, FHD+ 144Hz, Procesor AMD Ryzen™ 7 7445HS (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 4050 6GB, No OS, Mecha Gray",4498.99,RON,InStock,,,ASUS,TUF A16,,200,3389
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-16-tuf-f16-fx607vjb-fhd-plus-144hz-procesor-intel-core-5-210h-12m-cache-up-to-480-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3050-6gb-no-os-mecha-gray/,2026-03-02T21:19:40.448294+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS Gaming 16'' TUF F16 FX607VJB, FHD+ 144Hz, Procesor Intel® Core™ 5 210H (12M Cache, up to 4.80 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3050 6GB, No OS, Mecha Gray",3498.99,RON,InStock,,,ASUS,TUF F16,,200,3616
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/asus/gaming-173-tuf-a17-fa707nug-fhd-144hz-procesor-amd-ryzen-7-7445hs-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-4050-6gb-no-os-mecha-gray-1/,2026-03-02T21:19:46.438244+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop ASUS Gaming 17.3'' TUF A17 FA707NUG, FHD 144Hz, Procesor AMD Ryzen™ 7 7445HS (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 4050 6GB, No OS, Mecha Gray",4398.99,RON,InStock,,,ASUS,TUF A17,,200,2971
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/hp/173-17-cn3004nq-fhd-ips-procesor-intel-core-i5-1334u-12m-cache-up-to-460-ghz-16gb-ddr4-1tb-ssd-intel-iris-xe-free-dos-black/,2026-03-02T21:19:51.220474+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop HP 17.3'' 17-cn3004nq, FHD IPS, Procesor Intel® Core™ i5-1334U (12M Cache, up to 4.60 GHz), 16GB DDR4, 1TB SSD, Intel Iris Xe, Free DOS, Black",2659.91,RON,InStock,,,HP,I5-1334U,17-CN3004NQ,200,2969
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/lenovo/14-ideapad-slim-5-14irh10-wuxga-ips-procesor-intel-core-i7-13620h-24m-cache-up-to-490-ghz-32gb-ddr5-1tb-ssd-intel-uhd-no-os-luna-grey/,2026-03-02T21:19:56.020176+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Lenovo 14'' IdeaPad Slim 5 14IRH10, WUXGA IPS, Procesor Intel® Core™ i7-13620H (24M Cache, up to 4.90 GHz), 32GB DDR5, 1TB SSD, Intel UHD, No OS, Luna Grey",3698.99,RON,InStock,,,LENOVO,I7-13620H,I7-13620H,200,2967
pcgarage,laptopuri,https://www.pcgarage.ro/notebook-laptop/lenovo/156-ideapad-slim-3-15amn8-fhd-procesor-amd-ryzen-5-7520u-4m-cache-up-to-43-ghz-16gb-lpddr5-512gb-ssd-amd-radeon-610m-no-os-arctic-grey/,2026-03-02T21:20:02.469227+00:00,e7474938-6794-46a3-a1cd-1f9b149cfb89,"Laptop Lenovo 15.6'' IdeaPad Slim 3 15AMN8, FHD, Procesor AMD Ryzen™ 5 7520U (4M Cache, up to 4.3 GHz), 16GB LPDDR5, 512GB SSD, AMD Radeon 610M, No OS, Arctic Grey",1948.99,RON,InStock,,,LENOVO,15AMN8,,200,3247
